ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
f9e22c6799b9c12d8974284bb85274d0,image.jpg,,image/jpeg,media/image.jpg,,,83119,,,
f23d6f8818a436eae7e41a2472a0b44e,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,229361,,,
bklife_mp3,mc_matukar_bklife.mp3,,audio/mpeg,media/mc_matukar_bklife.mp3,,,7533295,470.804898,bklife,
bklife_wav,mc_matukar_bklife.wav,,audio/x-wav,media/mc_matukar_bklife.wav,,,83042348,470.76136054421767,bklife,
bklife_eaf,mc_matukar_bklife.eaf,,application/eaf+xml,media/mc_matukar_bklife.eaf,,,1008230,,bklife,
bklife_xml,mc_matukar_bklife.xml,,application/xml,media/mc_matukar_bklife.xml,,,195833,,bklife,
bklife_tsv,mc_matukar_bklife.tsv,,text/tab-separated-values,media/mc_matukar_bklife.tsv,,,57731,,bklife,
fishing_mp3,mc_matukar_fishing.mp3,,audio/mpeg,media/mc_matukar_fishing.mp3,,,3261312,203.808,fishing,
fishing_wav,mc_matukar_fishing.wav,,audio/x-wav,media/mc_matukar_fishing.wav,,,58697536,203.78,fishing,
fishing_eaf,mc_matukar_fishing.eaf,,application/eaf+xml,media/mc_matukar_fishing.eaf,,,597609,,fishing,
fishing_xml,mc_matukar_fishing.xml,,application/xml,media/mc_matukar_fishing.xml,,,118396,,fishing,
fishing_tsv,mc_matukar_fishing.tsv,,text/tab-separated-values,media/mc_matukar_fishing.tsv,,,36661,,fishing,
kadagoi_mp3,mc_matukar_kadagoi.mp3,,audio/mpeg,media/mc_matukar_kadagoi.mp3,,,2147473,134.19102,kadagoi,
kadagoi_wav,mc_matukar_kadagoi.wav,,audio/x-wav,media/mc_matukar_kadagoi.wav,,,23666732,134.16489795918366,kadagoi,
kadagoi_eaf,mc_matukar_kadagoi.eaf,,application/eaf+xml,media/mc_matukar_kadagoi.eaf,,,388302,,kadagoi,
kadagoi_xml,mc_matukar_kadagoi.xml,,application/xml,media/mc_matukar_kadagoi.xml,,,76547,,kadagoi,
kadagoi_tsv,mc_matukar_kadagoi.tsv,,text/tab-separated-values,media/mc_matukar_kadagoi.tsv,,,24268,,kadagoi,
manub_mp3,mc_matukar_manub.mp3,,audio/mpeg,media/mc_matukar_manub.mp3,,,5502720,343.896,manub,
manub_wav,mc_matukar_manub.wav,,audio/x-wav,media/mc_matukar_manub.wav,,,99043988,343.872,manub,
manub_eaf,mc_matukar_manub.eaf,,application/eaf+xml,media/mc_matukar_manub.eaf,,,683096,,manub,
manub_xml,mc_matukar_manub.xml,,application/xml,media/mc_matukar_manub.xml,,,145502,,manub,
manub_tsv,mc_matukar_manub.tsv,,text/tab-separated-values,media/mc_matukar_manub.tsv,,,36520,,manub,
mariu_mp3,mc_matukar_mariu.mp3,,audio/mpeg,media/mc_matukar_mariu.mp3,,,9579205,598.674286,mariu,
mariu_wav,mc_matukar_mariu.wav,,audio/x-wav,media/mc_matukar_mariu.wav,,,105601068,598.645260770975,mariu,
mariu_eaf,mc_matukar_mariu.eaf,,application/eaf+xml,media/mc_matukar_mariu.eaf,,,1303752,,mariu,
mariu_xml,mc_matukar_mariu.xml,,application/xml,media/mc_matukar_mariu.xml,,,252973,,mariu,
mariu_tsv,mc_matukar_mariu.tsv,,text/tab-separated-values,media/mc_matukar_mariu.tsv,,,70598,,mariu,
niu_mp3,mc_matukar_niu.mp3,,audio/mpeg,media/mc_matukar_niu.mp3,,,6498048,406.104,niu,
niu_wav,mc_matukar_niu.wav,,audio/x-wav,media/mc_matukar_niu.wav,,,116959892,406.08,niu,
niu_eaf,mc_matukar_niu.eaf,,application/eaf+xml,media/mc_matukar_niu.eaf,,,855132,,niu,
niu_xml,mc_matukar_niu.xml,,application/xml,media/mc_matukar_niu.xml,,,176908,,niu,
niu_tsv,mc_matukar_niu.tsv,,text/tab-separated-values,media/mc_matukar_niu.tsv,,,44485,,niu,
ww2_mp3,mc_matukar_ww2.mp3,,audio/mpeg,media/mc_matukar_ww2.mp3,,,9408000,587.976,ww2,
ww2_wav,mc_matukar_ww2.wav,,audio/x-wav,media/mc_matukar_ww2.wav,,,112885838,587.9466666666667,ww2,
ww2_eaf,mc_matukar_ww2.eaf,,application/eaf+xml,media/mc_matukar_ww2.eaf,,,980043,,ww2,
ww2_xml,mc_matukar_ww2.xml,,application/xml,media/mc_matukar_ww2.xml,,,198819,,ww2,
ww2_tsv,mc_matukar_ww2.tsv,,text/tab-separated-values,media/mc_matukar_ww2.tsv,,,53495,,ww2,
yali_mp3,mc_matukar_yali.mp3,,audio/mpeg,media/mc_matukar_yali.mp3,,,11132759,695.771429,yali,
yali_wav,mc_matukar_yali.wav,,audio/x-wav,media/mc_matukar_yali.wav,,,122726444,695.7278911564625,yali,
yali_eaf,mc_matukar_yali.eaf,,application/eaf+xml,media/mc_matukar_yali.eaf,,,1699829,,yali,
yali_xml,mc_matukar_yali.xml,,application/xml,media/mc_matukar_yali.xml,,,331839,,yali,
yali_tsv,mc_matukar_yali.tsv,,text/tab-separated-values,media/mc_matukar_yali.tsv,,,93701,,yali,
